real,obj01,obj02,obj03,obj04,obj05,obj06,obj07,obj08,obj09,obj10,obj11,obj12,obj13,obj14,obj15,obj16,obj17,obj18,obj19,obj20
obj01,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obj02,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obj03,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obj04,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obj05,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obj06,1,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0
obj07,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
obj08,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
obj09,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
obj10,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
obj11,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
obj12,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
obj13,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
obj14,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
obj15,0,0,0,1,0,2,0,7,0,0,0,0,0,1,5,0,1,0,1,0
obj16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
obj17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
obj18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
obj19,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0
obj20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
