pc1,pc2,clase
-0.287464,-1.334418,obj01
-0.025783,-1.15193,obj01
-1.150063,-1.77152,obj01
-0.972159,-1.693385,obj01
-0.871163,-1.638808,obj01
-0.846378,-1.651212,obj01
-0.845455,-1.6591,obj01
-0.829931,-1.635353,obj01
-0.827155,-1.656376,obj01
-0.814709,-1.637063,obj01
-0.811913,-1.643221,obj01
-0.793509,-1.61231,obj01
-0.015208,-1.103621,obj01
-0.797991,-1.595284,obj01
-0.766864,-1.565367,obj01
-0.704068,-1.528336,obj01
-0.639698,-1.472062,obj01
-0.604742,-1.373551,obj01
-0.52343,-1.298429,obj01
-0.398728,-1.323217,obj01
-0.355387,-1.266272,obj01
-0.14932,-1.192789,obj01
-0.114854,-1.163382,obj01
0.004256,-1.023845,obj01
-0.022362,-1.071771,obj01
-0.022742,-1.020234,obj01
-0.00747,-0.96388,obj01
-0.069717,-0.921675,obj01
-0.117231,-0.913391,obj01
-0.171699,-0.913721,obj01
-0.272394,-0.958685,obj01
-0.358583,-0.982005,obj01
-0.434146,-1.017623,obj01
-0.569983,-1.190977,obj01
0.006965,-0.963943,obj01
-0.712319,-1.37756,obj01
-0.813742,-1.450219,obj01
-1.001046,-1.501808,obj01
-1.191538,-1.420892,obj01
-1.124094,-1.395342,obj01
-0.878922,-1.379079,obj01
-0.731083,-1.502078,obj01
-0.57711,-1.446389,obj01
-0.637123,-1.51406,obj01
-0.564037,-1.504476,obj01
-0.001386,-0.898713,obj01
-0.559068,-1.506268,obj01
-0.582879,-1.536851,obj01
-0.745952,-1.457127,obj01
-0.79494,-1.483755,obj01
-0.827498,-1.495522,obj01
-0.811588,-1.528763,obj01
-0.794595,-1.523506,obj01
-0.725547,-1.502358,obj01
-0.669051,-1.51878,obj01
-0.586081,-1.450752,obj01
-0.060362,-0.860215,obj01
-0.514684,-1.382742,obj01
-0.383178,-1.35007,obj01
-0.143235,-0.882616,obj01
-0.224426,-0.908805,obj01
-0.242873,-1.223869,obj01
-0.32343,-0.958901,obj01
-0.43208,-1.038744,obj01
-0.554796,-1.144123,obj01
-0.659246,-1.288368,obj01
-0.799099,-1.463284,obj01
-0.976764,-1.592113,obj01
-1.218115,-1.789626,obj01
-1.52329,-1.747549,obj01
-1.656348,-1.713619,obj01
-1.450968,-1.644502,obj01
-6.15798,-3.389161,obj02
-5.578945,-3.35275,obj02
-6.012062,-3.453216,obj02
-5.809491,-3.358258,obj02
-5.593121,-3.364822,obj02
-5.415507,-3.273824,obj02
-4.679832,-3.096407,obj02
-4.372037,-3.054379,obj02
-4.692217,-3.101269,obj02
-5.210148,-3.208951,obj02
-4.754029,-3.091657,obj02
-4.245277,-3.010277,obj02
-6.444969,-3.477684,obj02
-4.159865,-2.961393,obj02
-4.246583,-2.994332,obj02
-4.022956,-2.915041,obj02
-4.112684,-2.890916,obj02
-4.351954,-2.862403,obj02
-3.947276,-2.827948,obj02
-3.947065,-2.711153,obj02
-3.828422,-2.532388,obj02
-3.800666,-2.578782,obj02
-3.697944,-2.530017,obj02
-6.200726,-3.463234,obj02
-3.50436,-2.455797,obj02
-3.51853,-2.58742,obj02
-3.331415,-2.525496,obj02
-3.218497,-2.614325,obj02
-3.308698,-2.509452,obj02
-3.267545,-2.580775,obj02
-3.163216,-2.54741,obj02
-3.160326,-2.572347,obj02
-3.219321,-2.500894,obj02
-3.153574,-2.437393,obj02
-6.026889,-3.388175,obj02
-3.25858,-2.413391,obj02
-3.399418,-2.38414,obj02
-3.243552,-2.360392,obj02
-3.287872,-2.359392,obj02
-3.493356,-2.380284,obj02
-4.391273,-2.478851,obj02
-4.493399,-2.60729,obj02
-4.829862,-2.60049,obj02
-5.40943,-2.756618,obj02
-5.806055,-2.774992,obj02
-6.337711,-3.417105,obj02
-6.126214,-2.849189,obj02
-6.05661,-2.934918,obj02
-6.193893,-2.981589,obj02
-6.315039,-3.06295,obj02
-6.115555,-3.097909,obj02
-6.162755,-3.201638,obj02
-6.226927,-3.245005,obj02
-6.092307,-3.19828,obj02
-6.320409,-3.279274,obj02
-5.559583,-3.238612,obj02
-6.380771,-3.402883,obj02
-6.411394,-3.408877,obj02
-6.189946,-3.320295,obj02
-5.515499,-3.232747,obj02
-5.82107,-3.397491,obj02
-6.329729,-3.484216,obj02
-5.560061,-3.277185,obj02
-5.970056,-3.412082,obj02
-6.168084,-3.435004,obj02
-6.110914,-3.425832,obj02
-6.048033,-3.434607,obj02
-5.732612,-3.377366,obj02
-6.142047,-3.451674,obj02
-6.084141,-3.472545,obj02
-6.106822,-3.430117,obj02
-5.367205,-3.270448,obj02
-0.609509,-1.80358,obj03
-0.619625,-1.776086,obj03
-3.479754,-2.434068,obj03
-3.228757,-2.436091,obj03
-2.896733,-2.472671,obj03
-2.556255,-2.360213,obj03
-2.263746,-2.15972,obj03
-2.063328,-2.05164,obj03
-2.05156,-2.16885,obj03
-1.991184,-2.219951,obj03
-1.684751,-2.168219,obj03
-1.34642,-2.062056,obj03
-0.611244,-1.770797,obj03
-1.300866,-2.078981,obj03
-1.279612,-2.208297,obj03
-1.169766,-2.154994,obj03
-0.98717,-2.064495,obj03
-0.949553,-2.085751,obj03
-0.856825,-2.052998,obj03
-0.934717,-2.086889,obj03
-0.919065,-2.082944,obj03
-0.868743,-2.057629,obj03
-0.888371,-2.104103,obj03
-0.584732,-1.680678,obj03
-0.916571,-2.123846,obj03
-0.943173,-2.229965,obj03
-0.835668,-2.142801,obj03
-1.126753,-2.420578,obj03
-1.156199,-2.543994,obj03
-1.31556,-2.628697,obj03
-1.646798,-2.866957,obj03
-1.841146,-2.997714,obj03
-2.310515,-3.221446,obj03
-2.879779,-3.491349,obj03
-0.593127,-1.677604,obj03
-3.236665,-3.420424,obj03
-3.58617,-3.323694,obj03
-3.947037,-3.113969,obj03
-4.123075,-3.051917,obj03
-4.324476,-2.998614,obj03
-4.000381,-2.876133,obj03
-3.660548,-2.897805,obj03
-3.109506,-2.950772,obj03
-2.682708,-2.896427,obj03
-2.404998,-2.690793,obj03
-0.69561,-1.686105,obj03
-2.098993,-2.592889,obj03
-1.882868,-2.482952,obj03
-1.737995,-2.431673,obj03
-1.63219,-2.409185,obj03
-1.354088,-2.300495,obj03
-1.224085,-2.24851,obj03
-1.22123,-2.296784,obj03
-1.082428,-2.18855,obj03
-0.968534,-2.104679,obj03
-0.834576,-1.975375,obj03
-0.787523,-1.704618,obj03
-0.801522,-1.958809,obj03
-0.657205,-1.873161,obj03
-0.951839,-1.890219,obj03
-1.081632,-1.978057,obj03
-0.538276,-1.764377,obj03
-1.260208,-2.048651,obj03
-1.484341,-2.277534,obj03
-1.843945,-2.401674,obj03
-2.164919,-2.541051,obj03
-2.578824,-2.584954,obj03
-3.111407,-2.497169,obj03
-3.249153,-2.333932,obj03
-3.48476,-2.220249,obj03
-3.597803,-2.173585,obj03
-3.52013,-2.290639,obj03
6.760037,-0.693805,obj04
7.086768,-0.452545,obj04
6.147343,-1.260156,obj04
6.235426,-1.092125,obj04
6.292118,-1.126493,obj04
6.373291,-0.992362,obj04
5.996246,-0.752335,obj04
5.93382,-0.708391,obj04
6.065813,-0.544691,obj04
5.902449,-0.417836,obj04
6.074925,-0.475363,obj04
5.836142,-0.500403,obj04
7.241459,-0.153053,obj04
6.55333,-0.234182,obj04
7.104011,-0.147541,obj04
6.776759,-0.242612,obj04
7.100458,-0.15624,obj04
6.990573,-0.290712,obj04
7.289884,-0.545003,obj04
7.172649,-0.4606,obj04
7.123533,-0.880814,obj04
7.055637,-0.877762,obj04
7.029627,-0.919632,obj04
7.173478,-0.13702,obj04
7.096493,-0.642638,obj04
7.149787,-1.035493,obj04
7.100571,-0.606939,obj04
7.203618,-1.006008,obj04
7.191867,-0.645001,obj04
7.281292,-0.933662,obj04
7.249851,-0.552478,obj04
7.321328,-0.631211,obj04
7.435425,-0.839186,obj04
7.625439,-0.972435,obj04
7.05938,-0.113786,obj04
7.709497,-0.967168,obj04
7.614667,-0.793699,obj04
7.688874,-0.674516,obj04
7.59428,-0.160769,obj04
7.63238,-0.168768,obj04
7.760629,-0.540252,obj04
7.509807,-0.19637,obj04
7.356152,-0.088096,obj04
7.188249,-0.09468,obj04
7.190159,-0.267447,obj04
6.886101,-0.052711,obj04
7.004795,-0.322769,obj04
