via,lambda,accuracy,cond_XtX
A,0.0,0.822667,105971.28653021387
A,0.0001,0.822667,105902.84883678079
A,0.001,0.822667,105290.86446670082
A,0.01,0.821333,99538.78645961426
A,0.1,0.822667,64372.22139956238
A,1.0,0.816,14201.62074781355
A,10.0,0.810667,1615.8173024594148
B,0.0,0.872,1.0000000000016926
B,0.0001,0.872,1.0000000000016929
B,0.001,0.872,1.0000000000016924
B,0.01,0.872,1.0000000000016926
B,0.1,0.872,1.0000000000016926
B,1.0,0.872,1.000000000001692
B,10.0,0.872,1.0000000000016849
C,0.0,0.997333,1.0000000000000027
C,0.0001,0.997333,1.0000000000000029
C,0.001,0.997333,1.0000000000000029
C,0.01,0.997333,1.000000000000003
C,0.1,0.997333,1.0000000000000024
C,1.0,0.997333,1.000000000000003
C,10.0,0.997333,1.000000000000003
