pc1,pc2,clase
-7.731008,-1.433655,lima
-7.720645,-1.513109,lima
-7.682004,-1.407881,lima
-7.682697,-1.379669,lima
-7.647396,-1.344632,lima
-7.545485,-1.510017,lima
-7.488361,-1.304883,lima
-7.473337,-1.196725,lima
-7.465969,-1.101755,lima
-7.448257,-1.035222,lima
-7.452691,-0.991759,lima
-7.434653,-0.91747,lima
-7.441917,-0.714794,lima
-7.472396,-0.664901,lima
-7.474504,-0.617095,lima
-7.537065,-0.839676,lima
-7.50902,-0.845447,lima
-7.527861,-0.86869,lima
-7.520568,-0.911851,lima
-7.513683,-0.919785,lima
-7.50246,-0.98666,lima
-7.503234,-1.084331,lima
-7.589924,-1.299693,lima
-7.584304,-1.140424,lima
-7.610161,-1.329977,lima
-6.466419,-0.373507,lima
-6.429795,-0.459528,lima
-6.386496,-0.524771,lima
-6.314518,-0.710324,lima
-6.279773,-0.876875,lima
-6.26575,-0.851498,lima
-6.351204,-0.684036,lima
-6.746714,-1.206773,lima
-6.588296,-1.037016,lima
-4.876421,0.068969,lima
-4.80531,0.002744,lima
-4.853954,-0.060222,lima
-4.864819,-0.134687,lima
-4.929957,-0.266459,lima
-4.945657,-0.344784,lima
-5.064663,-0.54285,lima
-5.252672,-0.925179,lima
-5.369428,-1.125471,lima
-5.351944,-0.798192,lima
-5.361989,-0.80738,lima
-5.384644,-0.596839,lima
-5.316747,-0.455172,lima
-5.314905,-0.471798,lima
-5.384767,0.251363,lima
-5.205713,0.754199,lima
-5.126348,0.814319,lima
-4.90775,0.56103,lima
-4.95218,0.540353,lima
-5.40217,0.329405,lima
-5.410086,0.321977,lima
-5.16613,0.32893,lima
-5.166016,0.313799,lima
-5.169963,0.334731,lima
-5.264158,0.294344,lima
-5.275553,0.279719,lima
-5.319472,0.201544,lima
-5.303999,0.173959,lima
-5.624095,0.155083,lima
-5.588525,0.13262,lima
-5.571934,0.138609,lima
-5.509562,0.099789,lima
-7.204395,-1.251857,lima
-7.245006,-1.29992,lima
-7.349571,-1.291109,lima
-7.382107,-1.235249,lima
-7.444497,-1.234345,lima
-7.485295,-1.222181,lima
-7.514106,-1.21722,lima
-7.565449,-1.210238,lima
-7.581803,-1.26302,lima
-5.5094,2.333679,lima
-5.419795,2.325833,lima
-5.138591,2.393791,lima
-5.049422,2.389092,lima
-7.442956,-0.835522,lima
-7.431187,-0.846167,lima
-7.440235,-0.737877,lima
-7.521382,-0.813352,lima
-4.839068,2.360215,lima
-7.791917,-1.312511,lima
-7.90283,-1.222432,lima
-7.936918,-1.166376,lima
-8.092219,-1.212035,lima
-8.129191,-1.128905,lima
-8.16002,-1.0188,lima
-8.184054,-0.892389,lima
-8.192778,-0.757025,lima
-8.09954,-0.493797,lima
-6.245948,1.878985,lima
-8.088752,-0.354286,lima
-8.040881,-0.251354,lima
-7.993333,-0.14174,lima
-7.90887,-0.042951,lima
-7.701588,0.112551,lima
-4.462673,2.244151,lima
-7.156783,0.16761,lima
-6.949568,0.083193,lima
-6.729772,-0.055065,lima
-4.2558,2.21933,lima
-6.309343,-0.879513,lima
-6.324493,-0.869366,lima
-6.373121,-0.874958,lima
-4.053563,2.135754,lima
-6.451524,-0.706121,lima
-6.513365,-0.578557,lima
-6.630365,-0.755056,lima
-6.589064,-1.025179,lima
-6.562277,-1.086641,lima
-6.676642,-0.889842,lima
-3.857676,1.99018,lima
-6.662191,-0.908962,lima
-6.657474,-0.905609,lima
-6.64361,-0.911032,lima
-6.641093,-0.897334,lima
-6.644281,-0.860706,lima
-6.643414,-0.831004,lima
-6.623944,-0.813553,lima
-6.602893,-0.7561,lima
-3.764521,1.92169,lima
-6.592191,-0.666523,lima
-6.600531,-0.596177,lima
-6.559518,-0.514033,lima
-6.582499,-0.378683,lima
-6.554498,-0.304574,lima
-6.552635,-0.241743,lima
-6.556556,-0.054963,lima
-6.535873,0.154364,lima
-6.49515,0.416606,lima
-6.482513,0.533288,lima
-3.610632,1.774097,lima
-6.195063,1.966073,lima
-6.318329,1.277649,lima
